1810062O18Rik	NR_033571	chr14	+	20546292	20570680	20570680	20570680	6	20546292,20561985,20564780,20565010,20569869,20570341,	20546344,20562096,20564839,20565047,20570022,20570680,
9430041J12Rik	NR_033568	chr7	-	4074124	4120728	4120728	4120728	9	4074124,4074832,4076214,4095457,4101035,4101897,4110190,4119679,4119910,	4074262,4075495,4076284,4095586,4101139,4102056,4110292,4119808,4120728,
AI507597	NR_033566	chr4	+	141614369	141615604	141615604	141615604	3	141614369,141614574,141614957,	141614477,141614683,141615604,
Gm32014	NR_110513	chr9	-	8644077	8740988	8740988	8740988	5	8644077,8689399,8717056,8720679,8740735,	8647660,8689520,8717137,8720804,8740988,
Speer8-ps1	NR_001584	chr5	+	14945293	14978541	14978541	14978541	4	14945293,14960148,14975441,14977691,	14945342,14960223,14975588,14978541,
Speer9-ps1	NR_001583	chr7	+	3128145	3144992	3144992	3144992	4	3128145,3134520,3135616,3144650,	3128348,3134607,3135759,3144992,
Xist	NR_001463	chrX	-	103460372	103483233	103483233	103483233	7	103460372,103468817,103469299,103469590,103470549,103470830,103473715,	103468036,103468972,103469446,103469801,103470681,103470921,103483233,
4930533P14Rik	NR_040478	chr1	-	96612056	96662573	96662573	96662573	3	96612056,96615018,96662418,	96612331,96615171,96662573,
Trim52	NR_073203	chr14	+	106106197	106135862	106135862	106135862	2	106106197,106135416,	106106339,106135862,
Map2k3os	NR_027800	chr11	-	60920940	60931867	60931867	60931867	2	60920940,60931565,	60921905,60931867,
Meg3	NR_027652	chr12	+	109540995	109571729	109571729	109571729	10	109540995,109543699,109544026,109544947,109546429,109549290,109549478,109549652,109558236,109571390,	109541099,109543849,109544742,109545041,109546542,109549371,109549552,109549810,109558320,109571729,
4932435O22Rik	NR_027643	chr11	-	114413404	114448860	114448860	114448860	3	114413404,114423530,114448671,	114416350,114423797,114448860,
Vps39	NR_027618	chr2	-	120316460	120353133	120353133	120353133	26	120316460,120319465,120320651,120320886,120321609,120321857,120323032,120323582,120324190,120324630,120325185,120325385,120326005,120328572,120333389,120338465,120338680,120339318,120341983,120343192,120344124,120345617,120346327,120349085,120350163,120352914,	120318109,120319557,120320786,120321036,120321655,120321960,120323161,120323700,120324289,120324704,120325272,120325527,120326149,120328715,120333519,120338586,120338801,120339502,120342076,120343291,120344219,120345660,120346392,120349155,120350229,120353133,
Tspy-ps	NR_027507	chrY	-	1055763	1058868	1058868	1058868	4	1055763,1056504,1057165,1058816,	1055850,1056590,1057261,1058868,
Frs3os	NR_045912	chr17	-	47699968	47701996	47701996	47701996	3	47699968,47700744,47701613,	47700442,47700867,47701996,
1700022E09Rik	NR_040568	chr16	-	59466871	59469238	59469238	59469238	3	59466871,59467996,59469184,	59467061,59468137,59469238,
1700009C05Rik	NR_046040	chr6	-	81900464	81910800	81910800	81910800	6	81900464,81902663,81908010,81908460,81909985,81910651,	81900748,81902799,81908031,81908534,81910108,81910800,
Gm13032	NR_045944	chr4	+	140810992	140817511	140817511	140817511	3	140810992,140813193,140816695,	140811103,140814267,140817511,
1700112H15Rik	NR_040472	chr1	-	184527840	184557691	184557691	184557691	6	184527840,184528836,184530084,184531703,184554368,184557612,	184528070,184529068,184530165,184531814,184554413,184557691,
Bloodlinc	NR_131196	chr11	-	102375550	102377020	102377020	102377020	3	102375550,102376302,102376802,	102375890,102376421,102377020,
Gm11978	NR_028586	chr11	-	6650147	6660236	6660236	6660236	6	6650147,6651089,6651364,6658526,6659560,6660083,	6650902,6651222,6651450,6658620,6659645,6660236,
Gm20300	NR_045008	chr10	-	30603194	30606634	30606634	30606634	1	30603194,	30606634,
5730435O14Rik	NR_045341	chr10	+	41568015	41576476	41576476	41576476	4	41568015,41575543,41576033,41576354,	41568099,41575713,41576274,41576476,
Zfa-ps	NR_037920	chr10	-	52542319	52545739	52545739	52545739	1	52542319,	52545739,
Platr9	NR_040652	chr4	-	34909788	34911481	34911481	34911481	3	34909788,34910850,34911450,	34910608,34910950,34911481,
Gm14858	NR_040285	chrX	+	102252650	102257689	102257689	102257689	3	102252650,102253479,102256439,	102253024,102253613,102257689,
Lyrm7os	NR_040284	chr11	+	54819918	54824967	54824967	54824967	3	54819918,54821221,54824470,	54820061,54821509,54824967,
4930583K01Rik	NR_027879	chr7	+	118243906	118245551	118245551	118245551	2	118243906,118244727,	118243965,118245551,
1810058I24Rik	NR_027875	chr6	+	35252731	35262059	35262059	35262059	3	35252731,35260409,35261158,	35253045,35260463,35262059,
Hgd	NR_027778	chr16	+	37580152	37632026	37632026	37632026	13	37580152,37588690,37593353,37611114,37613239,37615362,37616175,37616751,37618857,37621848,37624256,37628421,37631675,	37580336,37588762,37593459,37611174,37613331,37615397,37616255,37616851,37618982,37621953,37624383,37628603,37632026,
1700054K19Rik	NR_027865	chr6	+	112210707	112212518	112212518	112212518	3	112210707,112211517,112212189,	112210764,112211582,112212518,
1700020G17Rik	NR_045979	chr10	-	110801173	110896507	110896507	110896507	3	110801173,110893019,110896316,	110801510,110893101,110896507,
1700064J06Rik	NR_045348	chr10	+	119092904	119103107	119103107	119103107	4	119092904,119093761,119095597,119102880,	119092933,119093802,119095686,119103107,
Grip1os2	NR_045359	chr10	-	119746061	119761699	119761699	119761699	3	119746061,119760115,119761609,	119746598,119760211,119761699,
2900060B14Rik	NR_027901	chr1	-	118458668	118459265	118459265	118459265	1	118458668,	118459265,
1700008J07Rik	NR_024331	chr7	-	127510437	127512869	127512869	127512869	1	127510437,	127512869,
1700034K08Rik	NR_040756	chr9	-	92979915	93005733	93005733	93005733	4	92979915,92980725,93003804,93005683,	92980255,92980853,93003903,93005733,
4930568E12Rik	NR_040755	chr9	-	13091266	13105855	13105855	13105855	4	13091266,13095056,13097142,13105736,	13091591,13095269,13097266,13105855,
4930546K05Rik	NR_040754	chr9	-	42182237	42209231	42209231	42209231	7	42182237,42186125,42193025,42194253,42201583,42205614,42209152,	42183934,42186335,42194097,42194408,42201789,42205734,42209231,
4930593C16Rik	NR_040753	chr9	-	120924454	120930802	120930802	120930802	3	120924454,120930369,120930759,	120924696,120930667,120930802,
4930565D16Rik	NR_040752	chr3	-	84349375	84379921	84379921	84379921	4	84349375,84378142,84378778,84379727,	84350107,84378300,84378806,84379921,
Slc2a4rg-ps	NR_045164	chr2	+	181384249	181387596	181387596	181387596	3	181384249,181385280,181386384,	181384994,181386309,181387596,
Zeb2os	NR_110571	chr2	+	45112259	45114084	45114084	45114084	3	45112259,45112842,45113098,	45112342,45112993,45114084,
4930587E11Rik	NR_131017	chr6	+	102266099	102336676	102336676	102336676	5	102266099,102266855,102269934,102270334,102336208,	102266169,102266928,102270027,102270461,102336676,
1700048M11Rik	NR_045300	chr16	-	92308715	92312466	92312466	92312466	2	92308715,92312347,	92309079,92312466,
Gm15941	NR_045283	chr15	-	37421132	37432664	37432664	37432664	3	37421132,37427394,37432413,	37422636,37427465,37432664,
Gm11468	NR_033467	chr2	+	166273907	166294831	166294831	166294831	3	166273907,166285671,166294744,	166274132,166285742,166294831,
Dda1	NR_122115	chr8	+	71469193	71476097	71476097	71476097	5	71469193,71472040,71472194,71473774,71474487,	71469325,71472117,71472246,71473836,71476097,
Dda1	NR_122114	chr8	+	71469193	71476097	71476097	71476097	4	71469193,71472036,71473774,71474487,	71469325,71472117,71473836,71476097,
Tomm6os	NR_045945	chr17	+	47687609	47691092	47691092	47691092	3	47687609,47688567,47688729,	47688117,47688649,47691092,
Gm10445	NR_046063	chr6	-	84412941	84423838	84423838	84423838	4	84412941,84420394,84421522,84423563,	84413257,84420483,84421604,84423838,
Gm38426	NR_103491	chr8	+	84913334	84922915	84922915	84922915	3	84913334,84920393,84922046,	84913528,84920504,84922915,
Gm11729	NR_132097	chr11	+	117414388	117415368	117415368	117415368	3	117414388,117414842,117415176,	117414747,117415004,117415368,
LOC105246056	NR_137279	chr13	+	98317115	98324415	98324415	98324415	4	98317115,98319073,98321202,98324319,	98317609,98319145,98321458,98324415,
Gm30332	NR_126082	chr6	+	138443972	138461615	138461615	138461615	5	138443972,138447170,138448186,138456676,138459930,	138444329,138447255,138448256,138456824,138461615,
A330015K06Rik	NR_126080	chr3	-	65133058	65302685	65302685	65302685	5	65133058,65135593,65263854,65298292,65302599,	65134614,65135808,65263960,65298526,65302685,
Gm3363	NR_126079	chr2	-	18742708	18760862	18760862	18760862	5	18742708,18744302,18750049,18750930,18760575,	18743392,18744486,18750215,18750999,18760862,
4930447F24Rik	NR_126077	chr9	+	108136854	108138567	108138567	108138567	3	108136854,108137416,108137663,	108137141,108137566,108138567,
1700003I22Rik	NR_126076	chr1	+	56018977	56020203	56020203	56020203	2	56018977,56019855,	56019053,56020203,
A830011K09Rik	NR_126073	chr6	+	138423104	138429592	138429592	138429592	4	138423104,138425671,138427359,138427799,	138423365,138425800,138427543,138429592,
Gm11681	NR_126070	chr11	-	112792730	112799008	112799008	112799008	3	112792730,112796439,112798779,	112793267,112796543,112799008,
Gm11423	NR_126067	chr11	-	82779600	82781042	82781042	82781042	3	82779600,82780134,82780855,	82779935,82780298,82781042,
Gm12018	NR_131129	chr11	+	18095985	18103385	18103385	18103385	3	18095985,18101372,18102867,	18098729,18101486,18103385,
Gm5907	NR_131136	chr8	+	13998939	14003561	14003561	14003561	3	13998939,14002843,14003277,	13999146,14003013,14003561,
Gm11213	NR_028583	chr4	-	63596900	63605261	63605261	63605261	2	63596900,63605101,	63597222,63605261,
D630029K05Rik	NR_027846	chr10	+	116966273	116969107	116969107	116969107	3	116966273,116966537,116967237,	116966410,116966665,116969107,
Pex11b	NR_027845	chr3	+	96635356	96645381	96645381	96645381	4	96635356,96636673,96637130,96643574,	96635500,96636789,96637332,96645381,
1700020I14Rik	NR_027832	chr2	+	119594295	119600744	119600744	119600744	3	119594295,119596258,119599587,	119594434,119596342,119600744,
Gm10825	NR_028580	chr10	+	22402812	22407470	22407470	22407470	2	22402812,22403258,	22403148,22407470,
Zfp862-ps	NR_027808	chr6	+	48504338	48534832	48534832	48534832	7	48504338,48508271,48511814,48525023,48527444,48528350,48532034,	48504550,48508383,48512512,48525122,48527549,48530440,48534832,
Gm10649	NR_028579	chr8	-	76749086	76900173	76900173	76900173	2	76749086,76900105,	76750555,76900173,
Gm10584	NR_028578	chr7	+	132315663	132318291	132318291	132318291	1	132315663,	132318291,
A430093F15Rik	NR_027805	chr19	+	10740946	10786043	10786043	10786043	4	10740946,10781761,10785232,10785417,	10741002,10783081,10785345,10786043,
Bcas3os1	NR_045875	chr11	-	85702199	85719744	85719744	85719744	6	85702199,85704457,85704731,85706194,85706736,85719696,	85702502,85704592,85704818,85706280,85709215,85719744,
Lncbate1	NR_077224	chr8	-	108553251	108584677	108584677	108584677	2	108553251,108584155,	108553623,108584677,
2210416O15Rik	NR_045499	chr11	+	88098057	88100107	88100107	88100107	4	88098057,88098214,88098668,88098861,	88098128,88098317,88098752,88100107,
Pdxk-ps	NR_027316	chr17	-	32076082	32091423	32091423	32091423	9	32076082,32076958,32078768,32081591,32082529,32084045,32086029,32087758,32090200,	32076658,32077025,32078905,32081637,32082615,32084092,32086108,32087839,32091423,
Gm11762	NR_045099	chr11	+	119548629	119569046	119569046	119569046	4	119548629,119565286,119568262,119568812,	119549762,119565450,119568436,119569046,
Gm20752	NR_040750	chr3	+	159076363	159308080	159308080	159308080	5	159076363,159090248,159192397,159242244,159305923,	159076637,159090393,159192536,159242361,159308080,
7630403G23Rik	NR_040744	chr9	+	34042370	34059019	34059019	34059019	3	34042370,34046212,34058543,	34042895,34046293,34059019,
1700027I24Rik	NR_040741	chr9	-	36668855	36693189	36693189	36693189	4	36668855,36689408,36691128,36692865,	36669071,36689526,36691166,36693189,
Lyzl4os	NR_040740	chr9	+	121587019	121614255	121614255	121614255	4	121587019,121598933,121602844,121613963,	121587232,121599053,121602945,121614255,
1700003D09Rik	NR_045477	chr11	-	98350717	98358283	98358283	98358283	3	98350717,98355422,98358236,	98351994,98355487,98358283,
9230112J17Rik	NR_040464	chr9	-	60523966	60545882	60545882	60545882	4	60523966,60526382,60543195,60545725,	60525964,60526495,60543260,60545882,
4933436E23Rik	NR_040455	chr1	+	139379451	139402852	139402852	139402852	9	139379451,139380452,139380839,139391802,139398037,139398518,139399124,139401875,139402491,	139379523,139380568,139380988,139391863,139398137,139398588,139399250,139401931,139402852,
4933417E11Rik	NR_040454	chr1	-	71958997	72005195	72005195	72005195	3	71958997,71963513,72005011,	71959627,71963792,72005195,
A430035B10Rik	NR_040452	chr6	-	8507058	8509161	8509161	8509161	2	8507058,8508978,	8508811,8509161,
Gm11548	NR_040590	chr3	-	36499803	36506809	36506809	36506809	4	36499803,36502167,36504291,36506691,	36501709,36502294,36504339,36506809,
Gm20356	NR_040450	chr3	-	74009218	74017277	74017277	74017277	4	74009218,74014762,74014999,74017089,	74011251,74014899,74015116,74017277,
1700047G03Rik	NR_040447	chr15	+	11967061	11970083	11970083	11970083	3	11967061,11967813,11969469,	11967196,11967904,11970083,
C920021L13Rik	NR_040446	chr3	+	95871521	95889093	95889093	95889093	4	95871521,95886790,95887112,95888068,	95871685,95886943,95887496,95889093,
1700017G19Rik	NR_040445	chr3	-	40504864	40522912	40522912	40522912	6	40504864,40506918,40508210,40513001,40521385,40522614,	40506013,40507021,40508676,40513289,40521520,40522912,
Gm12522	NR_040560	chr3	-	108379276	108383741	108383741	108383741	3	108379276,108382470,108383286,	108380934,108382796,108383741,
1810006J02Rik	NR_040439	chr1	+	98131466	98144655	98144655	98144655	3	98131466,98133511,98143296,	98131704,98133601,98144655,
3110045C21Rik	NR_040438	chr1	+	169969408	169972396	169972396	169972396	3	169969408,169970449,169971781,	169969575,169970802,169972396,
Kank4os	NR_040437	chr4	+	98793767	98799037	98799037	98799037	3	98793767,98796008,98796842,	98793882,98796086,98799037,
AU022754	NR_040433	chr15	+	85581141	85593708	85593708	85593708	5	85581141,85582249,85585938,85591552,85593441,	85581417,85584487,85586037,85591648,85593708,
Gm10804	NR_040533	chr2	+	93452818	93456721	93456721	93456721	3	93452818,93455815,93456045,	93452962,93455863,93456721,
Gm10804	NR_040532	chr2	+	93452818	93469874	93469874	93469874	5	93452818,93455815,93465310,93467211,93468115,	93452962,93455863,93465455,93467362,93469874,
Gm13807	NR_040529	chr2	+	93403546	93417830	93417830	93417830	6	93403546,93403870,93409964,93415819,93417444,93417714,	93403668,93404057,93410024,93416479,93417594,93417830,
Gm10714	NR_040530	chr2	-	174125037	174183918	174183918	174183918	4	174125037,174125835,174165014,174183848,	174125692,174125887,174165111,174183918,
Rbakdn	NR_040426	chr5	-	143164778	143165751	143165751	143165751	3	143164778,143165429,143165665,	143165092,143165549,143165751,
Rbakdn	NR_040425	chr5	-	143164778	143165751	143165751	143165751	3	143164778,143165429,143165657,	143165092,143165549,143165751,
Rbakdn	NR_040424	chr5	-	143164778	143165751	143165751	143165751	2	143164778,143165429,	143165092,143165751,
Dbhos	NR_040524	chr2	-	27144897	27162703	27162703	27162703	7	27144897,27152710,27156895,27160248,27161247,27161585,27162208,	27147505,27152938,27157050,27160379,27161378,27161857,27162703,
1810021B22Rik	NR_040417	chr15	-	89071197	89075854	89075854	89075854	4	89071197,89071570,89074072,89075613,	89071336,89071718,89074198,89075854,
4932412D23Rik	NR_040522	chr16	-	42796387	42875762	42875762	42875762	2	42796387,42875611,	42796951,42875762,
5033403H07Rik	NR_040413	chr5	-	52973011	52992292	52992292	52992292	3	52973011,52990588,52992213,	52973262,52990737,52992292,
C230079O03Rik	NR_040459	chr7	-	136332215	136349415	136349415	136349415	5	136332215,136342577,136347783,136348848,136349319,	136333134,136342762,136347935,136348881,136349415,
Gm12709	NR_040444	chr4	-	102967265	102989755	102989755	102989755	4	102967265,102977191,102983928,102989548,	102968579,102977393,102984117,102989755,
4930570G19Rik	NR_040399	chr3	-	156546752	156561687	156561687	156561687	4	156546752,156547597,156551034,156561475,	156547088,156547832,156551237,156561687,
4930570G19Rik	NR_040398	chr3	-	156548414	156561687	156561687	156561687	3	156548414,156551854,156561475,	156551237,156551943,156561687,
D430036J16Rik	NR_040397	chr9	+	81632357	81645156	81645156	81645156	4	81632357,81636834,81642546,81644056,	81632480,81636937,81642702,81645156,
Gm16845	NR_040407	chr9	+	22071001	22086131	22086131	22086131	3	22071001,22076249,22084942,	22071164,22076351,22086131,
D430036J16Rik	NR_040396	chr9	+	81632357	81645156	81645156	81645156	5	81632357,81636834,81639160,81642546,81644056,	81632480,81636937,81639183,81642702,81645156,
Gm6260	NR_040405	chr3	-	143670891	143712143	143712143	143712143	3	143670891,143672729,143711934,	143671535,143672797,143712143,
D430036J16Rik	NR_040394	chr9	+	81631929	81645156	81645156	81645156	4	81631929,81636834,81642546,81644056,	81632279,81636937,81642702,81645156,
D430036J16Rik	NR_040393	chr9	+	81631929	81645156	81645156	81645156	5	81631929,81636834,81639160,81642546,81644056,	81632279,81636937,81639183,81642702,81645156,
1700063D05Rik	NR_040392	chr9	+	41206154	41217627	41217627	41217627	5	41206154,41210837,41216734,41217284,41217459,	41206329,41211034,41216813,41217374,41217627,
C920006O11Rik	NR_040401	chr9	+	78175913	78178882	78178882	78178882	4	78175913,78176570,78176998,78177824,	78176035,78176742,78177093,78178882,
4930570G19Rik	NR_040400	chr3	-	156559832	156561746	156561746	156561746	2	156559832,156561475,	156560248,156561746,
Gm9899	NR_040427	chr5	-	30573986	30588619	30588619	30588619	4	30573986,30579447,30582863,30588370,	30578380,30579550,30582940,30588619,
AI115009	NR_040386	chr3	+	152666912	152681432	152681432	152681432	4	152666912,152676986,152678731,152680758,	152667832,152677125,152678851,152681432,
Rbm46os	NR_040382	chr3	+	82876704	82943638	82943638	82943638	4	82876704,82878696,82917583,82940728,	82876758,82878826,82917741,82943638,
5730403I07Rik	NR_040378	chr9	-	77366411	77399416	77399416	77399416	4	77366411,77384122,77388951,77399266,	77368120,77384215,77389030,77399416,
Gm13582	NR_045335	chr2	-	60964375	60975151	60975151	60975151	4	60964375,60967973,60968654,60975056,	60965831,60968174,60969557,60975151,
Gm13446	NR_045894	chr2	-	35549533	35558702	35558702	35558702	4	35549533,35554420,35558233,35558455,	35550416,35555192,35558368,35558702,
4933430M04Rik	NR_045857	chr11	+	24481908	24569951	24569951	24569951	4	24481908,24560083,24560469,24569498,	24481958,24560271,24560521,24569951,
4930511A02Rik	NR_045966	chr12	+	11438232	11444812	11444812	11444812	4	11438232,11440859,11442948,11443258,	11438319,11441018,11443083,11444812,
1700061I17Rik	NR_038029	chr3	-	117060521	117077765	117077765	117077765	9	117060521,117061103,117061479,117062450,117066818,117067718,117068971,117076997,117077392,	117060871,117061345,117061682,117062487,117067150,117067825,117069059,117077227,117077765,
B230208H11Rik	NR_038028	chr10	-	12916645	12923127	12923127	12923127	3	12916645,12921608,12922573,	12917071,12921717,12923127,
B230208H11Rik	NR_038027	chr10	-	12916645	12923127	12923127	12923127	4	12916645,12921608,12922365,12922573,	12917071,12921717,12922458,12923127,
Apol7d	NR_040308	chr1	+	71653334	71662843	71662843	71662843	4	71653334,71657044,71660751,71662018,	71653386,71657166,71660945,71662843,
Gm20125	NR_038020	chr10	-	16951093	17095782	17095782	17095782	9	16951093,16954939,16955898,16959447,16963151,16981758,16989619,16990295,17095442,	16953254,16955033,16956045,16959550,16963278,16981905,16989739,16990457,17095782,
Mkln1os	NR_040300	chr6	-	31366884	31398773	31398773	31398773	3	31366884,31395697,31398614,	31367592,31395794,31398773,
Gm16998	NR_038016	chr10	+	54075921	54081081	54081081	54081081	3	54075921,54078222,54080964,	54076853,54078403,54081081,
Gm17751	NR_038013	chr1	+	76489132	76502028	76502028	76502028	5	76489132,76494425,76495429,76497533,76500331,	76489214,76494524,76495489,76497599,76502028,
2810408I11Rik	NR_038009	chr1	-	64679868	64690659	64690659	64690659	2	64679868,64690463,	64680385,64690659,
9330162B11Rik	NR_038007	chr1	-	188006575	188008990	188008990	188008990	3	188006575,188007963,188008451,	188007852,188008359,188008990,
E330023G01Rik	NR_045332	chr9	-	98748598	98820087	98820087	98820087	3	98748598,98758152,98819933,	98749797,98758282,98820087,
Fendrr	NR_045471	chr8	-	121054881	121083110	121083110	121083110	6	121054881,121059484,121064827,121065593,121073522,121082973,	121055052,121060729,121064998,121065779,121074070,121083110,
Gm15663	NR_038032	chr10	+	105574550	105583870	105583870	105583870	3	105574550,105580402,105581988,	105575687,105580587,105583870,
F730035M05Rik	NR_045174	chr12	+	70227840	70234165	70234165	70234165	5	70227840,70232048,70232794,70233170,70233831,	70228378,70232184,70232931,70233321,70234165,
4930517E11Rik	NR_040611	chr2	-	124123635	124129956	124129956	124129956	3	124123635,124125332,124129931,	124124976,124125423,124129956,
9930111H07Rik	NR_108086	chr1	+	85775270	85784694	85784694	85784694	4	85775270,85777500,85781442,85784060,	85775319,85777551,85781529,85784694,
Gsdmcl2	NR_108053	chr15	+	63880706	63889073	63889073	63889073	7	63880706,63881383,63882042,63883255,63884047,63887402,63888950,	63880797,63881521,63882266,63883442,63884222,63887508,63889073,
Gsdmcl1	NR_108051	chr15	+	63847308	63850942	63850942	63850942	5	63847308,63847950,63848658,63849643,63850438,	63847340,63848137,63848881,63849830,63850942,
9030619P08Rik	NR_108041	chr15	-	75427605	75431829	75431829	75431829	4	75427605,75429949,75431366,75431707,	75428178,75430028,75431449,75431829,
1700109K24Rik	NR_108037	chr15	+	77084397	77096314	77096314	77096314	3	77084397,77090554,77095852,	77084862,77090717,77096314,
1700065L07Rik	NR_108032	chr6	-	73436964	73471021	73471021	73471021	5	73436964,73437516,73440182,73461479,73470955,	73437208,73437612,73440248,73461642,73471021,
Gm16740	NR_108026	chr3	+	95217456	95226658	95226658	95226658	4	95217456,95219438,95221778,95226522,	95218058,95219549,95221885,95226658,
Gm16712	NR_108021	chr17	-	55954770	55959401	55959401	55959401	3	55954770,55956861,55959133,	55956367,55956976,55959401,
LOC100505025	NR_105062	chr7	+	73310379	73315193	73315193	73315193	3	73310379,73313491,73314953,	73311855,73313593,73315193,
1700025F24Rik	NR_040578	chr10	+	119413443	119426864	119426864	119426864	4	119413443,119414584,119415118,119426471,	119413619,119414662,119415365,119426864,
1700041M19Rik	NR_040573	chr16	-	77004227	77010881	77010881	77010881	3	77004227,77007287,77010837,	77004903,77007696,77010881,
1700108F19Rik	NR_015485	chr14	+	76677567	76687108	76687108	76687108	5	76677567,76678237,76679454,76680125,76686833,	76677679,76678379,76679598,76680320,76687108,
LOC100043315	NR_015482	chr15	-	95097621	95149318	95149318	95149318	3	95097621,95148835,95149158,	95098308,95148994,95149318,
C230091D08Rik	NR_015479	chr7	-	59307923	59324149	59324149	59324149	3	59307923,59317858,59322448,	59309726,59318062,59324149,
5730422E09Rik	NR_015478	chr5	-	149119564	149182036	149182036	149182036	3	149119564,149127373,149181994,	149119829,149128781,149182036,
1700086O06Rik	NR_015475	chr18	-	38238404	38250198	38250198	38250198	4	38238404,38239572,38240838,38249713,	38239189,38239751,38240953,38250198,
9530082P21Rik	NR_015472	chr17	+	23749235	23754065	23754065	23754065	3	23749235,23749800,23751677,	23749710,23750099,23754065,
2610203C22Rik	NR_015470	chr1	-	9560832	9631092	9631092	9631092	5	9560832,9563822,9619549,9620954,9631060,	9561778,9563871,9619639,9621082,9631092,
2900079G21Rik	NR_015468	chr9	+	112234380	112236018	112236018	112236018	2	112234380,112235102,	112234603,112236018,
5530601H04Rik	NR_015467	chrX	-	105040853	105070124	105070124	105070124	5	105040853,105066758,105068463,105069610,105069999,	105044111,105066877,105068628,105069675,105070124,
Ptgs2os	NR_015466	chr1	-	150074872	150099874	150099874	150099874	5	150074872,150084579,150087119,150091603,150099427,	150077045,150084639,150087345,150091691,150099874,
C920009B18Rik	NR_015465	chr10	+	22306719	22312942	22312942	22312942	3	22306719,22307166,22308704,	22306864,22307298,22312942,
A330069E16Rik	NR_015464	chr2	+	91237145	91238357	91238357	91238357	2	91237145,91237721,	91237401,91238357,
